"Guid","AccountId","Comments","ContactId","Description","IsEscalated","Origin","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","Type"
0fc3fe53-4694-4ec5-88c8-755a930e1025,d5e9c6ca-d474-4ece-87e5-4220b2e64da6,"#N/A",c35e7536-d731-411f-94e6-7c5e6d7a5d26,"#N/A",false,Phone,"#N/A",Medium,Breakdown,Closed,Structural breakdown of rotor assembly,"#N/A","#N/A","#N/A","#N/A",Structural
10f8ad90-8608-4f24-8b04-661ca259cbb3,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A",cd50c71d-bc40-488f-a339-b80c5bfb22bd,"#N/A",false,Phone,"#N/A",Medium,Equipment Design,Closed,Motor design hindering performance,"#N/A","#N/A","#N/A","#N/A",Electrical
1378fc3f-7c32-4087-be56-f28be8d12eae,d5e9c6ca-d474-4ece-87e5-4220b2e64da6,"#N/A",ef369810-ee87-42f2-8bdd-8768bb20d887,"#N/A",false,Phone,"#N/A",High,Installation,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
158de0d4-5b7b-406f-900b-214dcf24b6c5,d875d1af-f0f6-472e-a1ef-90446cd6a7cc,"#N/A",da37ce33-7cfe-43e6-a215-a5fe661b8b34,"#N/A",false,Phone,"#N/A",High,Equipment Complexity,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
1dadcc19-c0eb-4b62-90b2-dcf3e0139c9a,6b0b06f3-ad87-44b5-ab79-8a6394dd0374,"#N/A",0ec81875-44b4-4b08-8acf-f99fa0145a2f,"#N/A",false,Phone,"#N/A",Low,Feedback,Closed,Generator assembly instructions unclear,"#N/A","#N/A","#N/A","#N/A",Other
207cad5a-948e-4a5c-a009-85c7592f4381,d875d1af-f0f6-472e-a1ef-90446cd6a7cc,"#N/A",ec5cc84c-2a8c-4f55-b7ba-8146ecc1ebc3,"#N/A",false,Web,"#N/A",Medium,Equipment Complexity,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
2bc09780-c265-45c1-8c70-fbb551ad1261,e6cab932-b285-4a76-8441-e90dfb1535aa,"#N/A",24fea261-4346-4db0-932e-7c5b3810d0a9,"#N/A",false,Email,"#N/A",Medium,User didn't attend training,New,Test,"#N/A","#N/A","#N/A","#N/A",Problem
2edc024f-87f9-4b0a-9250-bc876f34b9e2,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A",e16adace-032e-409f-a9b0-95a53a3899a0,"#N/A",false,Web,"#N/A",Medium,Performance,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
429253ec-cffc-484e-9517-fe1ad2816d7b,7999371b-a76f-457e-b598-d6b789161cc6,"#N/A",11733a64-e4f5-450f-958b-c14436d3d412,"#N/A",false,Web,"#N/A",Low,Feedback,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
4713363c-9c9c-419d-b6f6-e9c29ecfe231,d6e23c21-31d9-477d-bbe3-0a36ea2f7349,"#N/A",83df8def-2d4f-49bd-8684-b7bbe374bc63,"#N/A",false,Phone,"#N/A",High,Performance,Closed,Performance inadequate for second consecutive week,"#N/A","#N/A","#N/A","#N/A",Electrical
